CLE;AB;BA;BP;BP_AB;BP_PM;H;PB;PM;PM_AB;PT;PT_AB;PT_PM;TO;BOG;ALTI;D_1A;D_1AR;D_R;D_2;D_4GA;D_7;D_8;D_8AR;D_WA;ELE;P_DEF;ARI;DWFC;EVA;GDD;MAT;PRECT;PRECU;VPD;AG;BR;FT;HF;HL;LOG;SBOM;SBOS;SBON;O1700;O1880;O1900;O1920
305;22.98;0.00;1.16;3.71;5.89;1.67;0.00;23.85;22.40;0.15;0.00;0.36;0.00;1.31;902.00;40.10;28.80;7.00;18.30;0.00;1.30;0.00;0.00;3.10;122.00;59;1;7;4;5;8;10;11;5;0.00;0.36;2.33;0.227;0.00;36.73;3.93;0.00;12.00;10.80;12.61;9.91;27.03
306;14.53;0.00;1.88;3.88;0.65;0.00;0.00;13.29;13.53;0.00;0.00;0.00;0.00;1.59;815.00;70.20;21.60;0.00;5.60;0.00;0.40;0.00;0.00;2.20;114.00;65;1;7;4;6;8;12;12;6;0.00;0.00;2.00;0.000;1.00;45.06;4.12;14.71;11.00;10.37;8.88;15.19;19.26
307;25.12;0.00;0.92;0.77;0.31;0.00;0.00;10.79;12.79;0.00;0.00;0.00;0.00;3.39;838.00;68.30;12.10;0.00;14.15;0.00;2.20;0.00;0.00;3.30;102.00;40;1;7;4;6;8;12;12;6;0.00;0.00;2.00;0.000;0.00;73.04;1.23;1.39;11.00;3.92;11.77;18.04;27.85
308;35.24;0.00;0.50;4.15;0.17;0.00;0.00;3.81;3.32;0.00;0.00;0.00;0.00;0.50;798.00;66.30;18.40;0.60;6.10;0.00;0.00;0.00;0.00;5.50;118.00;54;1;8;5;7;8;12;11;6;0.00;0.00;2.00;0.216;0.00;66.00;3.15;4.39;10.25;7.74;2.59;14.19;30.96
309;33.97;0.00;2.07;2.39;0.64;0.00;0.00;9.55;9.79;0.16;0.00;0.00;0.00;2.47;781.00;65.20;11.60;0.00;12.80;0.00;2.40;0.00;0.00;6.10;105.00;48;2;8;5;7;9;11;11;6;0.00;0.00;2.00;0.605;2.00;59.98;4.06;2.07;10.00;3.26;20.33;17.07;34.96
310;35.93;0.00;6.95;3.34;1.18;0.00;0.00;12.52;15.15;0.39;0.00;0.13;0.00;2.36;890.00;64.60;23.80;0.01;4.20;0.00;2.30;0.00;0.00;5.10;97.00;53;1;7;4;6;8;11;10;5;0.00;0.13;2.00;0.431;1.20;31.28;0.13;0.00;10.20;7.41;16.79;23.21;33.09
311;7.11;0.00;7.95;1.39;5.02;0.00;0.00;33.52;12.55;0.05;0.00;0.00;0.00;3.91;847.00;60.70;7.30;0.01;13.00;0.00;3.80;0.00;0.00;5.70;82.00;44;1;7;4;6;8;10;9;6;0.00;1.39;2.00;0.146;0.00;27.89;0.14;0.09;11.00;8.59;19.47;35.08;15.61
312;10.49;0.00;1.08;0.07;1.44;0.00;0.14;28.74;5.82;0.07;0.00;1.29;0.00;1.87;797.00;65.90;20.50;1.40;8.61;0.00;0.01;0.00;0.00;3.60;100.00;62;2;7;4;6;8;9;8;6;0.00;7.26;2.00;0.120;1.67;63.36;0.14;0.22;10.75;3.51;10.88;24.61;19.17
313;1.36;2.13;13.46;2.89;2.30;1.24;0.77;11.75;1.65;27.15;12.28;9.68;0.00;1.00;319.76;49.17;41.25;2.50;3.32;0.00;0.83;0.00;0.00;2.08;82.42;2;4;11;7;10;10;6;6;9;2.36;0.00;7.17;1.911;1.60;19.78;6.38;1.00;13.17;0.34;1.02;6.51;33.22
314;1.19;4.69;24.84;1.67;2.80;0.48;0.27;14.01;2.05;20.31;2.69;9.43;0.00;1.02;363.95;36.82;53.88;0.78;4.26;0.00;0.39;0.00;0.00;3.49;86.84;14;3;11;7;9;10;7;7;9;0.54;0.00;6.00;0.343;1.67;15.63;6.73;2.16;14.00;1.73;1.44;7.76;30.17
315;0.27;0.27;20.67;0.67;1.73;0.27;0.00;30.93;2.00;14.67;0.27;15.07;0.00;2.40;461.21;37.62;44.55;0.99;12.87;0.00;0.00;0.00;0.00;1.98;80.01;37;3;10;6;9;9;8;8;8;0.00;0.00;3.00;0.041;0.00;31.20;12.27;2.93;13.00;0.00;16.94;18.64;35.59
316;1.93;1.65;17.63;1.53;2.38;0.53;2.33;9.56;3.51;19.48;2.67;13.08;0.00;1.25;393.36;49.46;33.69;1.68;7.82;0.00;3.98;0.00;0.00;3.22;90.10;29;3;10;6;9;10;7;7;9;0.02;1.89;4.46;6.131;1.00;36.76;12.01;2.76;13.62;0.71;2.14;9.63;38.14
317;4.49;0.37;2.28;1.84;4.34;1.03;16.94;6.85;7.22;8.32;12.67;11.56;0.00;1.91;284.23;59.50;31.50;2.00;1.50;0.00;2.50;0.00;0.00;2.00;80.10;19;4;11;7;10;10;6;6;9;0.22;1.25;5.25;0.521;1.00;42.86;11.19;0.37;14.75;0.00;1.07;11.77;26.20
318;8.59;0.00;1.30;0.81;0.49;0.32;10.21;4.21;4.70;13.29;23.18;11.51;0.16;1.78;202.28;67.06;21.18;0.00;5.88;0.00;3.53;0.00;0.00;0.00;53.34;6;5;11;7;10;10;5;5;9;0.81;0.00;5.00;0.394;1.00;46.03;4.05;0.32;15.00;0.89;0.00;7.15;47.32
319;5.89;0.00;0.73;0.07;0.95;0.22;13.60;6.04;3.20;28.95;6.33;12.73;0.00;0.87;395.46;61.98;17.19;0.00;13.54;0.00;4.69;0.00;0.00;1.56;87.90;26;4;11;7;9;10;6;6;9;1.02;3.27;3.67;17.166;1.00;23.49;1.89;1.31;17.00;0.74;0.74;2.21;32.35
320;2.11;0.00;3.29;3.76;6.10;3.99;2.11;9.86;4.69;15.73;12.91;4.93;0.00;0.70;171.00;9.30;36.00;12.00;0.00;0.00;0.00;0.00;0.00;26.70;88.00;23;5;12;7;10;11;5;4;9;3.76;1.17;3.00;7.611;0.00;8.92;0.00;0.00;17.00;0.89;0.89;14.28;32.14
321;2.83;0.00;0.54;0.67;2.29;1.48;1.35;5.52;10.36;8.88;22.61;11.98;0.13;1.08;239.00;48.10;32.70;0.00;0.00;0.00;4.80;0.00;0.00;11.50;48.00;8;5;11;7;10;10;5;5;9;3.90;2.69;3.00;14.612;1.50;14.13;0.00;0.00;17.00;0.00;0.62;6.84;37.89
322;6.79;0.00;4.67;3.23;0.00;4.78;2.89;4.23;3.11;23.25;18.35;6.56;0.11;1.56;261.00;49.60;24.10;2.90;6.60;0.00;6.60;0.00;0.00;9.50;84.00;32;4;11;7;10;10;5;5;9;0.56;1.89;3.00;32.379;1.00;22.91;7.12;0.44;17.00;3.18;3.82;8.91;17.20
323;0.96;0.00;2.45;1.31;1.01;0.83;24.31;4.25;1.36;23.13;7.49;14.94;0.00;2.45;276.31;44.75;19.14;10.80;20.68;0.00;1.54;0.00;0.00;0.93;45.72;1;4;11;7;10;10;5;5;9;1.93;0.53;9.20;14.954;1.00;23.48;0.26;0.00;7.20;0.00;1.14;6.14;29.77
324;1.44;0.00;3.42;0.18;1.32;0.06;42.30;10.78;1.50;11.74;0.66;6.41;0.00;3.24;396.24;49.17;32.92;0.42;12.92;0.00;2.92;0.00;0.00;1.25;44.16;7;4;11;7;9;10;6;5;9;0.00;2.58;5.67;14.968;0.00;15.22;2.10;0.30;10.00;0.96;1.17;12.82;24.28
325;0.40;0.00;4.02;2.38;4.82;0.00;6.12;8.10;1.42;16.54;7.25;17.39;0.00;2.89;335.28;45.02;26.69;1.20;17.53;0.00;2.39;0.00;0.00;2.79;51.51;6;4;11;7;10;10;6;5;9;0.96;0.06;6.80;14.444;2.00;41.81;10.20;0.40;10.00;2.28;1.58;12.28;17.01
326;0.00;0.00;0.76;4.95;0.95;0.19;5.33;1.33;0.38;28.57;19.24;9.90;0.00;0.19;244.79;9.88;41.98;9.88;34.57;0.00;0.00;0.00;0.00;1.23;52.83;0;4;11;7;10;10;5;4;9;11.81;0.00;8.00;0.834;0.00;22.48;0.00;0.00;12.00;0.00;0.00;7.96;26.54
327;0.97;0.00;6.02;3.21;2.52;0.23;0.80;5.33;1.49;25.39;5.85;12.55;0.00;1.26;330.10;68.26;16.27;0.00;7.15;0.00;1.98;0.00;0.00;4.37;49.70;4;4;11;7;10;10;6;5;9;5.62;1.66;6.50;5.836;2.00;27.51;6.36;1.66;12.25;0.83;2.20;8.54;21.49
328;2.55;0.00;10.62;2.41;2.55;0.14;0.99;12.18;0.28;26.06;4.11;12.46;0.00;2.12;364.31;33.96;29.25;0.94;11.32;0.00;3.77;0.00;0.00;13.21;73.34;8;4;11;7;10;10;6;5;9;0.57;0.14;7.00;2.454;0.00;18.70;3.97;0.28;11.50;10.00;2.86;7.15;20.00
329;0.51;0.00;3.96;1.60;4.47;0.19;1.09;11.43;6.07;16.22;11.24;12.84;0.00;1.60;401.32;44.84;20.63;0.00;9.86;0.45;0.45;0.00;0.00;9.87;58.62;4;4;11;7;10;10;6;6;9;2.43;0.19;4.67;1.238;0.00;18.52;8.56;0.06;12.00;0.61;1.02;14.93;38.65
330;1.64;0.20;21.31;0.61;2.97;2.56;0.00;33.40;6.15;5.02;0.00;2.25;0.00;2.87;384.56;57.75;28.87;0.00;2.82;0.00;2.82;0.00;0.00;7.75;38.84;12;3;11;7;9;10;7;6;9;0.00;0.00;5.50;0.656;2.00;7.48;14.24;8.50;14.00;2.56;1.71;11.96;36.75
331;0.91;0.00;1.21;0.23;1.21;0.15;25.06;7.70;1.81;25.89;2.19;13.74;0.00;6.57;280.13;34.36;20.00;14.36;26.15;0.00;2.05;0.00;0.00;2.05;46.71;10;4;10;7;9;9;5;4;9;0.00;0.00;7.00;54.170;0.00;15.62;0.75;0.00;4.50;1.17;1.96;8.62;22.35
332;1.31;0.00;6.43;0.14;1.86;0.17;17.55;24.18;3.37;18.49;0.09;7.69;0.00;4.94;266.98;39.00;36.80;11.40;6.80;0.00;1.20;0.00;0.00;4.00;59.86;14;4;10;6;9;9;5;5;9;0.11;1.54;4.55;30.506;1.00;17.12;0.00;0.00;2.82;1.94;10.52;10.52;18.60
333;1.25;0.00;4.47;0.31;1.88;0.97;7.57;39.32;3.16;9.59;0.00;6.66;0.00;2.99;284.96;56.89;17.96;1.80;14.57;0.00;0.40;0.00;0.00;5.39;51.68;14;3;10;6;9;9;5;5;9;0.00;1.08;1.50;1.875;1.00;38.72;0.06;0.00;2.60;3.23;13.66;26.39;15.51
334;0.18;0.00;3.39;1.11;2.81;6.96;34.64;17.96;0.94;6.20;0.00;2.98;0.00;5.97;249.12;19.58;52.08;13.75;4.58;0.00;3.75;0.00;0.00;4.58;48.64;5;4;10;7;9;9;5;5;9;0.00;0.88;3.33;67.708;0.00;29.02;0.00;0.00;3.00;0.57;2.84;17.61;14.21
335;1.40;0.00;4.76;8.54;2.09;0.86;14.49;8.58;9.69;6.53;0.66;5.05;0.00;8.00;228.60;29.97;18.44;0.58;11.24;0.00;7.78;0.00;0.00;6.92;55.01;10;3;10;6;9;9;6;5;9;0.00;9.03;1.00;25.888;0.00;17.73;8.13;0.12;3.40;5.04;9.19;12.76;21.37
336;0.37;0.00;3.71;2.56;5.23;1.46;17.73;11.87;5.81;17.68;0.99;10.25;0.00;3.29;237.91;58.78;20.23;0.76;8.01;0.00;2.29;0.00;0.00;8.40;50.70;17;4;11;7;10;10;6;4;9;0.00;1.46;2.80;21.146;0.00;13.70;2.88;0.00;4.20;3.67;3.68;11.02;29.80
337;2.58;0.00;6.44;0.63;4.86;1.05;2.57;29.50;3.09;12.61;0.07;9.40;0.00;1.26;333.95;44.64;34.65;3.58;8.38;0.00;0.37;0.00;0.00;5.06;63.97;13;3;10;6;9;9;5;5;9;0.00;3.18;1.00;5.311;0.00;50.99;0.27;0.00;2.13;7.10;14.18;20.38;16.45
338;0.27;0.00;4.33;4.27;4.74;3.32;3.93;16.99;4.13;8.06;0.00;3.59;0.00;2.37;330.33;28.50;46.00;14.00;4.00;0.00;1.50;0.00;0.00;6.00;65.62;14;3;10;6;9;9;6;5;9;0.00;0.00;1.00;0.941;0.00;52.81;0.34;0.00;3.00;0.96;8.17;16.34;29.81
339;4.09;0.00;7.02;17.06;3.42;0.92;2.52;16.35;13.45;1.03;0.24;1.38;0.00;1.14;303.53;61.30;21.07;0.57;11.30;0.00;0.00;0.00;0.00;2.87;68.58;26;3;10;6;8;9;6;5;9;0.00;8.95;1.17;18.452;1.00;40.67;18.47;1.52;3.58;3.99;6.66;7.81;27.61
340;7.49;0.00;6.27;0.18;2.95;1.58;3.82;31.53;6.22;4.30;0.13;4.98;0.00;1.90;368.97;54.60;22.41;3.83;10.16;0.00;0.38;0.00;0.00;8.24;64.62;15;3;10;6;9;9;5;5;9;0.00;4.98;1.00;11.012;0.00;49.59;0.37;0.00;1.56;3.62;12.32;21.19;21.92
341;0.81;0.00;2.15;0.38;0.27;0.75;32.29;22.50;1.61;11.84;0.00;4.79;0.00;9.69;345.95;53.22;4.64;1.07;31.07;0.00;2.86;0.00;0.00;6.07;38.10;3;4;10;6;9;9;5;5;9;0.00;0.65;2.25;0.027;0.00;18.46;0.86;0.00;2.75;3.48;10.43;18.15;33.98
342;0.98;0.00;2.85;0.36;1.69;0.00;22.35;17.36;3.56;21.64;1.16;14.43;0.09;4.27;292.02;58.08;29.94;1.80;4.80;0.00;0.60;0.00;0.00;4.79;61.45;16;4;10;6;9;9;5;4;9;0.00;0.09;4.67;5.994;1.00;13.45;0.53;0.09;2.67;3.77;3.15;7.55;47.17
343;0.82;0.00;9.63;0.02;1.68;0.00;14.10;26.00;1.93;10.51;0.00;3.45;0.00;3.07;318.52;59.49;13.24;1.75;16.27;0.00;1.59;0.00;0.00;7.50;53.23;16;4;10;6;9;9;5;5;9;0.00;0.34;1.42;3.307;1.00;43.78;0.00;0.00;2.00;3.19;11.22;21.74;19.53
344;4.68;0.00;4.84;6.38;13.48;0.44;9.30;24.81;6.38;3.30;0.00;3.03;0.00;2.81;244.69;44.84;34.92;0.00;13.09;0.00;0.40;0.00;0.00;5.95;108.81;33;4;11;6;9;9;6;5;9;0.00;5.17;1.00;15.293;1.00;41.64;4.51;0.00;5.20;5.14;14.23;18.18;18.58
345;3.74;0.00;7.39;4.19;11.10;1.03;28.67;14.55;5.08;6.25;0.11;4.85;0.00;2.25;275.46;16.26;59.15;9.76;4.27;0.00;1.02;0.00;0.00;6.71;91.44;20;3;10;6;9;9;6;5;9;0.00;0.34;2.44;51.401;1.00;20.08;4.68;0.03;6.67;5.40;4.72;2.92;14.16
346;4.33;0.00;1.95;7.97;10.60;0.17;8.06;39.10;6.96;0.51;0.00;1.36;0.00;3.48;329.18;31.90;38.04;1.84;19.63;0.00;1.84;0.00;0.00;6.75;72.99;28;3;10;6;9;9;6;6;9;0.00;0.00;1.00;0.493;0.00;35.45;9.25;0.00;7.67;13.96;18.61;8.72;29.07
347;5.80;4.75;20.54;13.74;6.65;0.05;0.05;7.85;2.25;5.25;0.10;3.85;0.00;2.65;290.95;24.32;57.88;1.71;9.59;0.00;1.03;0.00;0.00;5.48;87.57;25;3;10;6;9;9;6;6;9;0.00;0.15;3.83;0.569;1.00;48.13;21.64;0.25;9.67;4.23;5.91;14.36;30.42
348;0.00;0.96;17.02;2.01;3.44;1.43;14.05;15.30;0.96;18.36;0.00;10.04;0.00;3.92;250.15;61.27;21.13;0.70;7.74;0.00;2.82;0.00;0.00;4.93;47.90;9;3;10;6;9;9;6;5;9;0.00;0.96;4.00;71.006;0.00;6.88;3.92;1.05;8.33;0.00;0.00;0.60;16.17
349;0.00;0.10;14.21;0.31;5.15;1.38;14.06;13.96;0.97;14.11;0.66;13.35;0.00;8.05;218.20;12.76;49.66;8.62;19.31;0.00;5.86;0.00;0.00;3.79;46.16;7;4;11;7;10;10;6;5;9;0.20;0.87;7.80;23.114;1.00;11.05;1.27;0.10;8.60;1.38;1.15;5.07;41.25
350;1.95;2.21;10.81;7.01;11.45;0.46;2.61;13.15;4.34;2.18;0.61;7.16;0.00;3.10;269.49;27.04;48.28;3.09;11.99;0.00;3.45;0.00;0.00;5.26;77.14;16;3;11;6;9;9;6;6;9;0.00;1.32;5.00;6.980;1.00;38.53;21.32;3.02;9.88;4.21;4.77;10.69;30.72
351;1.54;2.91;12.84;7.02;8.73;0.00;5.82;1.20;2.23;11.47;1.54;11.13;0.00;0.68;274.32;7.00;22.00;8.00;42.00;0.00;0.00;0.00;0.00;18.00;0.00;36;3;11;7;9;10;7;7;9;0.00;2.40;5.00;27.702;1.50;28.94;11.30;0.34;10.00;4.26;6.39;6.39;6.39
352;6.51;0.00;3.01;4.45;7.70;0.33;23.32;25.22;5.77;0.66;0.04;3.63;0.00;4.16;247.47;20.37;13.48;1.88;51.10;0.00;4.08;0.00;0.00;5.96;44.47;10;3;10;6;9;9;6;5;9;0.00;0.16;1.00;0.240;1.00;21.92;3.83;0.04;4.00;7.53;16.63;24.75;24.95
353;6.92;0.00;3.91;21.72;14.67;0.18;1.18;31.78;11.24;0.41;0.00;1.12;0.00;1.24;455.19;8.02;66.67;16.46;5.06;0.00;0.00;0.00;0.00;3.80;112.78;40;2;10;5;7;8;7;7;8;0.00;0.00;1.00;0.014;0.00;27.10;32.72;0.65;7.33;20.92;31.63;26.54;12.75
354;13.28;0.67;3.98;38.98;6.43;0.43;0.18;5.57;7.22;0.00;0.00;0.73;0.00;1.35;460.84;15.56;63.56;12.89;5.34;0.00;0.00;0.00;0.00;2.67;122.60;38;3;10;6;8;9;6;7;8;0.00;1.90;2.67;4.585;1.00;37.94;40.82;1.35;10.33;3.70;8.00;8.61;19.08
355;8.94;2.44;19.10;19.73;5.55;0.14;0.00;13.05;4.06;1.17;0.05;2.21;0.00;1.49;346.43;34.34;35.69;2.36;20.54;0.00;0.34;0.00;0.00;6.40;108.59;24;3;10;6;9;9;6;6;9;0.00;2.39;4.00;28.496;1.20;31.29;33.54;3.97;11.33;2.98;7.06;16.36;31.97
356;11.41;0.39;3.06;3.74;4.32;2.89;3.32;13.75;9.79;0.49;0.03;1.01;0.00;1.59;439.10;27.76;57.18;2.59;4.00;0.00;0.00;0.00;0.00;7.29;94.58;42;3;10;6;8;9;6;7;8;0.00;4.91;1.55;8.909;1.50;47.40;11.64;0.75;8.73;20.00;14.95;15.41;16.10
357;10.24;0.00;0.47;1.20;3.41;0.00;0.94;19.68;8.03;0.00;0.00;0.67;0.13;2.14;400.07;26.17;54.67;1.87;9.34;0.00;0.47;0.00;0.00;5.61;92.83;26;3;10;6;8;9;6;7;8;0.00;1.74;1.50;0.008;1.25;61.58;10.44;0.80;10.25;13.69;16.18;19.09;24.07
358;11.12;1.28;17.33;2.95;9.42;3.17;1.09;16.85;6.92;0.90;0.00;1.67;0.00;1.83;418.81;16.04;47.69;18.24;6.16;0.00;0.88;0.00;0.00;9.45;105.04;38;3;10;6;9;9;7;7;9;0.00;4.10;3.43;36.276;1.00;30.57;12.66;1.41;10.29;18.59;13.17;11.76;16.47
359;4.46;1.94;11.41;12.66;7.68;0.34;0.00;20.61;8.84;0.39;0.47;2.36;0.00;1.28;443.21;38.25;31.72;4.66;9.51;0.00;0.75;0.00;0.00;15.11;103.41;17;2;10;6;8;9;7;8;8;0.00;0.05;3.11;0.228;1.44;23.10;31.20;8.23;11.11;7.42;8.62;14.63;32.26
360;5.91;8.42;13.02;13.81;15.24;0.10;0.67;7.49;5.21;2.73;0.29;6.73;0.00;0.38;406.05;25.56;55.56;4.00;3.54;0.00;0.89;0.00;0.00;10.44;108.86;11;2;10;6;9;9;7;8;8;0.00;0.98;5.00;6.009;1.71;34.55;39.76;2.60;11.71;8.21;8.21;22.70;24.64
361;1.42;0.00;0.73;1.29;2.97;10.26;7.53;43.11;11.79;0.00;0.08;0.14;0.00;3.84;448.07;59.26;10.62;0.72;20.51;0.00;1.43;0.00;0.00;6.89;56.76;11;3;10;5;7;8;5;6;8;0.00;4.11;1.00;5.272;1.00;8.68;10.22;1.56;0.00;31.12;14.90;6.12;13.08
362;1.92;0.00;3.49;0.52;7.42;7.82;0.92;32.40;17.92;0.28;0.00;0.72;0.00;3.09;444.17;46.33;39.30;3.83;3.52;0.00;0.96;0.00;0.00;6.07;63.69;18;2;10;5;7;8;6;7;8;0.00;13.87;1.00;17.937;1.00;0.00;17.64;0.52;0.00;22.25;12.47;11.57;18.99
363;3.09;0.00;0.00;0.00;0.21;0.51;0.21;37.08;6.59;0.00;0.00;0.00;0.00;9.17;424.54;57.78;19.26;0.00;8.89;0.00;8.89;0.00;0.00;5.19;52.86;6;2;10;5;7;8;6;7;8;0.00;31.20;1.00;50.478;1.00;0.93;5.36;0.51;1.33;75.86;6.90;6.90;6.90
364;0.90;0.00;0.27;0.11;0.82;1.18;1.45;13.36;3.58;0.06;0.06;0.99;0.00;0.57;411.64;13.61;5.18;0.44;0.89;0.00;0.59;0.00;0.00;79.29;60.96;1;3;10;5;8;8;6;7;8;0.00;1.77;1.00;2.614;1.00;2.53;2.48;0.17;0.70;21.59;21.59;19.32;19.31
365;11.86;0.00;5.26;19.32;5.13;0.98;0.98;25.73;22.80;0.00;0.00;0.06;0.00;0.67;428.59;55.36;27.47;8.58;5.59;0.00;0.00;0.00;0.00;3.00;105.09;31;3;10;6;8;8;5;6;8;0.00;0.00;1.00;0.007;0.00;0.73;19.25;0.06;2.40;23.70;26.94;25.65;15.91
366;1.24;0.00;0.00;0.29;2.12;3.14;12.77;39.20;5.18;0.00;0.00;0.36;0.00;11.09;398.71;24.61;3.66;0.00;41.36;0.00;11.52;0.00;0.00;11.52;28.92;0;3;10;5;8;8;5;7;8;0.00;2.12;1.00;0.002;0.00;3.36;1.02;0.07;2.33;16.81;9.73;26.10;34.95
367;3.30;0.00;2.17;2.78;5.04;1.91;16.61;31.91;8.96;0.43;0.00;0.87;0.00;2.09;402.77;75.14;9.47;0.00;10.65;0.00;1.18;0.00;0.00;3.55;58.65;0;3;10;6;8;8;5;6;8;0.00;0.70;1.00;0.813;0.00;37.30;4.09;0.78;1.33;9.29;9.83;15.85;29.51
368;12.33;0.00;1.17;0.71;4.68;0.17;0.17;15.80;1.92;0.25;0.13;0.88;0.00;1.13;378.61;71.60;14.79;0.00;7.40;0.00;0.30;0.00;0.00;5.92;62.06;11;3;10;6;8;8;5;6;8;0.00;10.28;1.00;16.930;1.00;75.26;0.50;0.00;1.80;20.55;14.38;5.47;14.38
369;7.60;0.00;4.15;1.04;6.91;0.30;3.90;43.06;14.77;1.88;0.00;2.96;0.00;1.88;408.28;60.43;21.22;0.00;13.67;0.00;0.00;0.00;0.00;4.32;76.66;7;3;10;5;8;8;6;7;8;0.00;2.57;1.00;4.343;1.00;35.16;17.38;1.93;1.80;19.51;19.52;16.38;25.44
370;4.95;0.00;2.40;0.00;3.51;0.80;0.80;26.52;16.77;0.00;0.48;2.40;0.00;2.40;432.05;22.34;54.26;4.26;4.26;0.00;1.06;0.00;0.00;13.83;83.82;24;2;10;5;7;8;6;7;8;0.00;25.08;1.00;42.581;1.00;1.28;7.99;0.00;3.50;22.73;13.64;15.15;12.13
371;22.13;0.00;0.12;0.70;0.64;0.41;6.73;37.30;12.76;0.00;0.00;0.88;0.00;1.76;409.72;66.94;23.27;0.00;2.45;0.00;0.00;0.00;0.00;7.35;63.14;23;3;10;6;8;8;6;7;8;0.00;3.22;1.00;4.086;1.00;29.39;4.92;0.06;4.00;31.34;10.14;9.68;25.80
372;11.96;0.00;4.05;1.22;6.59;0.56;4.85;37.01;8.38;1.37;0.28;3.25;0.00;0.85;324.29;34.41;29.90;9.32;15.11;0.00;0.00;0.00;0.00;8.36;85.29;28;3;10;6;8;9;6;6;8;0.00;0.89;1.00;0.710;1.00;44.73;3.58;0.05;3.50;11.00;25.35;22.01;22.49
373;9.10;0.00;2.68;5.42;6.33;1.21;11.87;28.47;15.19;0.51;0.15;0.81;0.00;3.28;403.06;68.91;8.26;0.00;16.52;0.00;1.30;0.00;0.00;4.78;51.18;8;3;10;6;8;9;5;6;8;0.00;0.12;1.00;0.004;1.00;33.02;10.27;0.45;3.89;10.17;7.08;6.72;45.19
374;20.92;0.00;1.31;9.28;4.97;0.00;0.00;31.63;16.86;0.00;0.00;0.00;0.00;0.65;432.68;65.42;14.49;0.47;11.68;0.00;0.93;0.00;0.00;7.01;77.86;21;3;10;6;8;8;5;6;8;0.00;0.00;1.00;0.814;0.00;34.64;23.99;0.85;3.25;30.56;25.00;19.90;14.35
375;16.25;0.00;5.14;14.31;14.21;0.88;2.27;28.80;6.90;0.65;0.09;2.45;0.00;1.11;386.85;56.17;35.49;0.93;2.47;0.00;0.62;0.00;0.00;4.32;80.40;25;3;10;6;8;9;6;6;8;0.00;0.19;1.00;0.006;0.00;39.63;13.70;0.28;4.33;8.12;25.22;19.23;15.39
376;3.44;0.00;2.04;2.53;7.32;0.65;2.80;50.56;9.36;0.00;0.00;0.70;0.00;6.62;391.61;28.74;29.12;1.15;22.61;0.00;5.75;0.00;0.00;12.26;66.34;11;3;10;6;8;9;6;7;8;0.00;0.00;1.00;0.000;1.00;12.64;8.07;0.00;6.50;30.61;42.35;18.37;3.57
377;1.62;0.00;4.14;3.62;10.27;4.31;7.58;30.22;8.97;0.32;0.00;0.98;0.00;2.05;387.10;15.02;47.94;13.99;9.26;0.00;0.21;0.00;0.00;11.93;90.35;22;3;10;6;8;9;6;7;8;0.00;3.62;1.00;5.149;1.00;27.87;2.92;0.03;6.78;13.36;35.86;20.71;13.80
378;11.92;0.00;3.58;6.04;11.84;0.56;7.07;34.02;6.52;0.87;0.08;1.59;0.00;2.07;401.68;51.89;39.46;1.62;1.62;0.00;0.00;0.00;0.00;5.41;72.39;16;3;10;6;8;9;6;7;8;0.00;0.00;1.00;0.039;0.00;54.37;2.38;0.00;6.50;15.86;15.08;10.32;28.57
379;10.71;0.00;0.45;0.22;2.08;4.54;1.41;29.59;4.54;0.07;0.07;0.82;0.00;1.64;474.25;30.37;61.26;0.52;1.05;0.00;0.00;0.00;0.00;6.81;82.63;16;3;10;5;8;8;7;8;8;0.00;0.00;1.00;0.136;1.67;65.65;4.61;0.07;7.67;29.56;20.13;15.09;16.98
380;32.53;0.00;2.33;6.19;1.91;0.00;0.00;11.91;25.22;0.00;0.00;0.00;0.00;0.33;724.00;34.50;37.10;17.30;4.90;0.00;0.30;0.00;0.00;5.90;125.00;40;2;9;5;7;8;8;8;7;0.00;0.00;2.00;2.204;1.60;13.40;33.64;9.82;8.20;13.83;9.87;22.71;33.33
381;2.18;0.16;17.94;6.24;9.36;0.00;0.00;21.53;23.56;0.00;0.78;1.72;0.00;0.47;596.12;28.74;67.82;0.00;2.30;0.00;0.00;0.00;0.00;1.15;146.69;42;1;9;5;7;8;8;9;7;0.00;0.00;2.00;0.098;1.00;12.17;44.62;9.98;11.00;17.39;12.32;15.94;14.49
382;18.88;3.84;4.44;19.94;5.23;0.00;0.00;7.36;17.86;0.09;0.32;1.57;0.00;0.74;579.88;47.54;43.61;0.00;1.64;0.00;0.00;0.00;0.00;6.56;107.93;33;1;9;5;8;8;8;9;8;0.00;0.00;3.50;0.122;1.17;30.03;43.04;6.02;13.00;9.81;15.98;20.55;20.78
383;16.45;6.64;14.34;13.68;12.70;1.05;0.26;3.29;6.91;1.78;0.86;1.51;0.00;0.46;497.50;37.12;48.03;10.92;3.06;0.00;0.44;0.00;0.00;0.44;127.30;44;2;10;6;8;9;8;9;8;0.00;0.20;4.00;1.592;2.00;35.39;34.93;6.25;12.80;3.66;8.06;18.31;20.88
384;33.90;0.60;3.28;10.24;3.28;0.00;0.00;11.53;14.21;0.20;0.20;0.20;0.00;0.70;644.00;48.00;45.00;1.00;5.00;0.00;0.00;0.00;0.00;1.00;136.00;51;2;9;5;7;8;8;9;7;0.00;1.09;3.00;3.212;1.67;44.53;34.99;5.37;13.00;6.55;13.54;16.15;29.69
