CLE;V_CAL;V_KAA;V_RHG;V_VAAM
145;0.00000;3.16667;8.50000;5.50000
146;0.00000;2.50000;0.00000;7.00000
147;1.50000;3.25000;18.75000;8.83333
148;0.20000;21.00000;4.00000;7.20000
149;0.00000;25.16667;6.16667;25.83333
150;0.00000;0.00000;0.00000;7.80000
151;0.50000;21.50000;16.16667;8.16667
152;0.00000;0.83333;8.83333;1.66667
153;0.00000;6.00000;3.60000;6.00000
154;0.00000;3.20000;0.40000;11.60000
155;0.00000;7.40000;9.60000;8.60000
156;1.80000;10.80000;23.30000;5.80000
157;0.00000;0.00000;0.00000;2.50000
158;0.00000;25.50000;19.66667;18.66667
159;0.00000;17.00000;19.33333;15.25000
160;0.33333;7.75000;13.00000;7.91667
161;0.16667;6.16667;13.50000;6.66667
162;0.00000;14.33333;6.83333;8.00000
163;0.00000;3.00000;2.66667;2.50000
164;0.00000;0.00000;0.00000;0.83333
165;0.00000;1.90000;11.50000;6.00000
166;0.00000;3.60000;0.20000;3.40000
167;0.00000;3.00000;6.80000;2.60000
168;0.00000;0.00000;0.00000;0.80000
169;0.00000;1.20000;0.60000;4.20000
170;0.08333;15.58333;5.75000;4.00000
171;0.00000;7.44444;4.88889;7.66667
172;0.00000;12.36364;14.36364;12.45455
173;0.00000;0.00000;0.20000;2.80000
174;0.00000;0.60000;0.60000;1.20000
175;0.00000;0.00000;0.00000;1.00000
176;0.00000;0.20000;0.00000;1.60000
177;0.00000;5.33333;2.66667;4.86667
178;0.00000;0.20000;1.20000;2.80000
179;0.09091;8.90909;10.81818;9.00000
180;0.00000;9.33333;3.33333;2.33333
181;0.00000;0.00000;0.00000;1.36364
182;0.04762;5.23810;1.33333;7.00000
183;0.20000;1.40000;3.00000;5.20000
184;0.00000;1.20000;0.20000;4.40000
185;0.00000;0.00000;0.00000;1.33333
186;0.00000;11.85714;6.85714;16.71429
187;0.00000;1.00000;3.00000;3.50000
188;0.00000;0.50000;0.16667;4.66667
189;0.00000;0.09091;0.00000;0.54545
190;0.00000;0.75000;0.08333;1.83333
191;0.00000;0.09091;0.00000;1.63636
192;0.00000;31.16667;11.83333;9.83333
193;0.08333;9.91667;9.08333;6.58333
194;0.00000;10.09091;2.45455;9.90909
195;1.25000;3.75000;2.58333;6.16667
196;0.00000;16.83333;4.16667;11.83333
197;0.00000;23.94118;22.47059;14.11765
198;0.00000;8.29412;4.64706;4.76471
199;3.58333;11.83333;13.66667;10.50000
200;0.00000;7.50000;6.00000;5.83333
201;0.00000;12.80000;4.00000;5.70000
202;0.00000;2.57143;0.28571;1.71429
203;0.00000;6.60000;0.20000;9.20000
204;0.00000;13.20000;3.60000;32.00000
205;0.00000;0.50000;1.70000;2.10000
206;2.50000;14.00000;27.66667;22.66667
207;0.00000;9.50000;2.50000;8.33333
208;0.00000;19.28571;15.85714;16.28571
209;0.60000;11.00000;9.60000;15.40000
210;0.00000;0.20000;0.00000;1.40000
211;0.00000;0.61905;2.76190;3.04762
212;0.00000;0.60000;0.20000;1.60000
213;0.00000;1.93333;0.86667;2.66667
214;0.00000;20.27778;9.66667;22.72222
215;0.00000;40.16667;17.16667;40.50000
216;0.00000;27.23529;16.35294;11.11765
217;0.00000;1.83333;0.33333;25.33333
218;0.00000;9.66667;6.38889;9.72222
219;0.00000;0.66667;3.00000;1.50000
220;0.10000;7.00000;4.90000;7.00000
221;0.00000;4.80000;3.20000;7.60000
222;0.00000;2.93333;1.80000;4.13333
223;0.00000;10.62500;3.50000;4.75000
224;0.08333;3.29167;2.66667;8.75000
225;0.00000;3.91667;3.16667;6.25000
226;0.44444;15.22222;25.88889;14.00000
227;0.00000;6.83333;11.33333;7.58333
228;0.00000;5.81818;8.36364;6.36364
229;2.63158;14.36842;6.47368;21.68421
230;0.00000;19.84211;12.73684;11.05263
231;0.00000;20.91667;7.08333;6.00000
232;0.00000;4.80000;4.60000;20.80000
233;2.50000;29.16667;6.66667;11.50000
234;0.08333;6.25000;5.91667;4.50000
235;0.00000;2.00000;0.63636;3.18182
236;0.00000;22.41667;7.41667;27.33333
237;1.25000;22.16667;11.25000;9.58333
238;0.00000;7.11111;2.27778;2.22222
239;0.00000;0.66667;0.16667;0.00000
240;0.00000;30.93333;12.00000;12.06667
241;0.00000;10.00000;4.00000;4.33333
242;0.00000;5.05556;3.66667;4.55556
243;0.00000;15.66667;3.95833;11.75000
244;0.00000;12.83333;8.58333;8.58333
245;0.00000;0.33333;0.00000;0.33333
246;0.50000;21.83333;16.50000;11.66667
247;0.00000;1.16667;0.33333;1.33333
248;0.00000;0.12500;0.12500;0.29167
249;0.00000;2.16667;3.25000;2.91667
250;1.63636;4.09091;2.81818;3.54545
251;0.00000;5.03226;1.93548;2.51613
252;0.00000;0.54545;0.18182;5.36364
253;0.00000;0.25000;0.08333;0.50000
254;0.00000;2.50000;5.50000;0.83333
255;0.00000;1.50000;0.00000;0.58333
256;0.00000;0.33333;0.50000;1.00000
257;0.00000;0.50000;0.50000;1.83333
258;0.00000;0.50000;0.50000;0.66667
259;0.00000;0.16667;0.16667;0.66667
260;5.00000;5.16667;1.00000;1.66667
261;14.28571;0.00000;9.42857;4.85714
262;0.14286;0.00000;2.28571;2.57143
263;0.00000;0.23529;0.23529;0.17647
264;0.00000;0.00000;0.05556;1.16667
265;0.00000;0.08333;0.33333;0.58333
266;0.00000;0.00000;0.25000;0.83333
267;0.00000;0.00000;0.00000;0.50000
268;0.00000;0.00000;0.00000;0.16667
269;0.09091;3.27273;1.63636;1.18182
270;0.00000;0.50000;0.16667;0.16667
271;0.00000;0.00000;0.00000;0.33333
272;0.00000;4.50000;2.16667;2.66667
273;0.00000;0.60000;0.60000;0.20000
274;0.00000;0.16667;0.66667;4.50000
275;0.00000;0.00000;0.03571;0.64286
276;0.50000;0.16667;0.50000;0.66667
277;0.00000;0.10345;0.10345;1.75862
278;0.00000;0.00000;0.00000;0.42105
279;0.00000;0.94737;2.94737;1.10526
280;0.00000;0.16667;0.00000;0.38889
281;0.00000;0.09091;0.09091;0.27273
282;0.00000;0.00000;0.06250;0.06250
283;0.00000;0.00000;0.00000;0.50000
284;0.00000;0.00000;0.08333;0.41667
285;0.78947;0.84211;0.94737;1.36842
286;0.00000;0.40000;1.26667;1.33333
287;0.00000;5.50000;0.40000;2.70000
288;0.00000;9.58333;5.25000;3.83333
289;0.00000;0.18750;0.43750;1.87500
290;0.00000;2.17647;0.11765;1.70588
291;0.00000;0.50000;0.00000;0.40000
292;0.00000;0.16667;0.66667;2.16667
293;0.04348;7.00000;2.26087;2.21739
294;0.00000;2.77778;2.55556;1.38889
295;0.16667;27.00000;30.66667;17.66667
296;0.00000;5.50000;19.33333;26.66667
297;0.00000;0.00000;3.80000;1.40000
298;0.00000;4.68000;0.00000;3.52000
299;0.00000;4.08333;0.00000;3.08333
300;0.00000;0.00000;0.00000;0.16667
301;0.00000;0.00000;0.35714;0.78571
302;0.00000;0.07692;0.30769;0.46154
303;0.53333;0.00000;0.30000;0.96667
304;0.14286;0.00000;3.00000;3.28571
305;0.50000;0.00000;3.50000;2.16667
306;1.37500;0.04167;1.37500;1.04167
307;0.00000;0.00000;2.53846;0.07692
308;0.00000;0.00000;0.05000;0.30000
309;0.62963;0.77778;0.85185;3.85185
310;0.06452;0.09677;0.35484;0.70968
311;0.80952;8.30952;13.21429;18.16667
312;1.66667;2.55556;2.55556;14.22222
313;0.08333;0.50000;0.33333;1.33333
314;0.00000;3.25000;0.50000;2.75000
315;0.00000;0.16667;0.16667;3.33333
316;0.00000;1.94595;0.16216;1.21622
317;0.00000;11.33333;2.00000;5.72222
318;1.25000;5.33333;3.58333;3.25000
319;0.00000;8.36364;0.81818;3.72727
320;0.00000;6.33333;0.16667;5.00000
321;0.00000;35.83333;20.00000;3.00000
322;0.00000;23.80000;6.00000;37.00000
323;0.00000;4.22222;0.55556;7.61111
324;0.00000;33.83333;2.41667;12.75000
325;0.00000;10.41667;1.83333;9.25000
326;0.00000;9.23077;0.30769;3.23077
327;0.25000;3.75000;0.75000;16.08333
328;0.00000;15.20000;3.80000;2.00000
329;0.00000;5.50000;3.16667;6.50000
330;0.00000;0.66667;0.16667;1.83333
331;1.25000;18.33333;11.16667;15.41667
332;0.11111;7.30556;5.19444;3.61111
333;0.07692;10.07692;1.84615;8.15385
334;0.42857;44.57143;16.28571;19.71429
335;0.00000;13.50000;1.27778;5.38889
336;0.00000;16.75000;0.83333;12.66667
337;0.17647;8.82353;4.47059;6.82353
338;0.00000;18.00000;3.75000;15.75000
339;0.00000;9.11765;13.41176;8.17647
340;0.03571;16.35714;7.07143;6.32143
341;11.66667;7.00000;7.00000;3.66667
342;2.66667;10.66667;11.50000;2.00000
343;0.35294;13.41176;6.76471;13.17647
344;0.00000;10.15385;5.15385;9.07692
345;0.60000;13.06667;6.30000;5.46667
346;0.00000;8.83333;8.00000;3.00000
347;0.00000;0.16667;0.00000;0.83333
348;0.00000;8.66667;3.00000;2.66667
349;0.00000;4.88889;0.38889;2.83333
350;0.00000;1.17647;0.05882;1.58824
351;0.00000;14.00000;1.33333;2.33333
352;0.00000;9.00000;5.66667;7.11111
353;0.85000;7.80000;1.70000;4.30000
