"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"324",324,1.44,0,3.42,0.18,1.32,0.06,42.3,10.78,1.5,11.74,0.66,6.41,0,3.24,396.24,49.17,32.92,0.42,12.92,0,2.92,0,0,1.25,44.16,7,4,11,7,9,10,6,5,9,0,2.58,5.67,14.968,0,15.22,2.1,0.3,10,0.96,1.17,12.82,24.28,"H_c","c","H"
"325",325,0.4,0,4.02,2.38,4.82,0,6.12,8.1,1.42,16.54,7.25,17.39,0,2.89,335.28,45.02,26.69,1.2,17.53,0,2.39,0,0,2.79,51.51,6,4,11,7,10,10,6,5,9,0.96,0.06,6.8,14.444,2,41.81,10.2,0.4,10,2.28,1.58,12.28,17.01,"H_d","d","H"
"326",326,0,0,0.76,4.95,0.95,0.19,5.33,1.33,0.38,28.57,19.24,9.9,0,0.19,244.79,9.88,41.98,9.88,34.57,0,0,0,0,1.23,52.83,0,4,11,7,10,10,5,4,9,11.81,0,8,0.834,0,22.48,0,0,12,0,0,7.96,26.54,"L_n","n","L"
"327",327,0.97,0,6.02,3.21,2.52,0.23,0.8,5.33,1.49,25.39,5.85,12.55,0,1.26,330.1,68.26,16.27,0,7.15,0,1.98,0,0,4.37,49.7,4,4,11,7,10,10,6,5,9,5.62,1.66,6.5,5.836,2,27.51,6.36,1.66,12.25,0.83,2.2,8.54,21.49,"H_n","n","H"
"328",328,2.55,0,10.62,2.41,2.55,0.14,0.99,12.18,0.28,26.06,4.11,12.46,0,2.12,364.31,33.96,29.25,0.94,11.32,0,3.77,0,0,13.21,73.34,8,4,11,7,10,10,6,5,9,0.57,0.14,7,2.454,0,18.7,3.97,0.28,11.5,10,2.86,7.15,20,"H_n","n","H"
"329",329,0.51,0,3.96,1.6,4.47,0.19,1.09,11.43,6.07,16.22,11.24,12.84,0,1.6,401.32,44.84,20.63,0,9.86,0.45,0.45,0,0,9.87,58.62,4,4,11,7,10,10,6,6,9,2.43,0.19,4.67,1.238,0,18.52,8.56,0.06,12,0.61,1.02,14.93,38.65,"H_n","n","H"
"330",330,1.64,0.2,21.31,0.61,2.97,2.56,0,33.4,6.15,5.02,0,2.25,0,2.87,384.56,57.75,28.87,0,2.82,0,2.82,0,0,7.75,38.84,12,3,11,7,9,10,7,6,9,0,0,5.5,0.656,2,7.48,14.24,8.5,14,2.56,1.71,11.96,36.75,"H_c","c","H"
"331",331,0.91,0,1.21,0.23,1.21,0.15,25.06,7.7,1.81,25.89,2.19,13.74,0,6.57,280.13,34.36,20,14.36,26.15,0,2.05,0,0,2.05,46.71,10,4,10,7,9,9,5,4,9,0,0,7,54.17,0,15.62,0.75,0,4.5,1.17,1.96,8.62,22.35,"L_c","c","L"
"332",332,1.31,0,6.43,0.14,1.86,0.17,17.55,24.18,3.37,18.49,0.09,7.69,0,4.94,266.98,39,36.8,11.4,6.8,0,1.2,0,0,4,59.86,14,4,10,6,9,9,5,5,9,0.11,1.54,4.55,30.506,1,17.12,0,0,2.82,1.94,10.52,10.52,18.6,"H_c","c","H"
"333",333,1.25,0,4.47,0.31,1.88,0.97,7.57,39.32,3.16,9.59,0,6.66,0,2.99,284.96,56.89,17.96,1.8,14.57,0,0.4,0,0,5.39,51.68,14,3,10,6,9,9,5,5,9,0,1.08,1.5,1.875,1,38.72,0.06,0,2.6,3.23,13.66,26.39,15.51,"H_c","c","H"
"334",334,0.18,0,3.39,1.11,2.81,6.96,34.64,17.96,0.94,6.2,0,2.98,0,5.97,249.12,19.58,52.08,13.75,4.58,0,3.75,0,0,4.58,48.64,5,4,10,7,9,9,5,5,9,0,0.88,3.33,67.708,0,29.02,0,0,3,0.57,2.84,17.61,14.21,"H_c","c","H"
"335",335,1.4,0,4.76,8.54,2.09,0.86,14.49,8.58,9.69,6.53,0.66,5.05,0,8,228.6,29.97,18.44,0.58,11.24,0,7.78,0,0,6.92,55.01,10,3,10,6,9,9,6,5,9,0,9.03,1,25.888,0,17.73,8.13,0.12,3.4,5.04,9.19,12.76,21.37,"H_c","c","H"
"336",336,0.37,0,3.71,2.56,5.23,1.46,17.73,11.87,5.81,17.68,0.99,10.25,0,3.29,237.91,58.78,20.23,0.76,8.01,0,2.29,0,0,8.4,50.7,17,4,11,7,10,10,6,4,9,0,1.46,2.8,21.146,0,13.7,2.88,0,4.2,3.67,3.68,11.02,29.8,"L_c","c","L"
"337",337,2.58,0,6.44,0.63,4.86,1.05,2.57,29.5,3.09,12.61,0.07,9.4,0,1.26,333.95,44.64,34.65,3.58,8.38,0,0.37,0,0,5.06,63.97,13,3,10,6,9,9,5,5,9,0,3.18,1,5.311,0,50.99,0.27,0,2.13,7.1,14.18,20.38,16.45,"H_c","c","H"
"338",338,0.27,0,4.33,4.27,4.74,3.32,3.93,16.99,4.13,8.06,0,3.59,0,2.37,330.33,28.5,46,14,4,0,1.5,0,0,6,65.62,14,3,10,6,9,9,6,5,9,0,0,1,0.941,0,52.81,0.34,0,3,0.96,8.17,16.34,29.81,"H_c","c","H"
"339",339,4.09,0,7.02,17.06,3.42,0.92,2.52,16.35,13.45,1.03,0.24,1.38,0,1.14,303.53,61.3,21.07,0.57,11.3,0,0,0,0,2.87,68.58,26,3,10,6,8,9,6,5,9,0,8.95,1.17,18.452,1,40.67,18.47,1.52,3.58,3.99,6.66,7.81,27.61,"H_c","c","H"
"340",340,7.49,0,6.27,0.18,2.95,1.58,3.82,31.53,6.22,4.3,0.13,4.98,0,1.9,368.97,54.6,22.41,3.83,10.16,0,0.38,0,0,8.24,64.62,15,3,10,6,9,9,5,5,9,0,4.98,1,11.012,0,49.59,0.37,0,1.56,3.62,12.32,21.19,21.92,"H_c","c","H"
"341",341,0.81,0,2.15,0.38,0.27,0.75,32.29,22.5,1.61,11.84,0,4.79,0,9.69,345.95,53.22,4.64,1.07,31.07,0,2.86,0,0,6.07,38.1,3,4,10,6,9,9,5,5,9,0,0.65,2.25,0.027,0,18.46,0.86,0,2.75,3.48,10.43,18.15,33.98,"H_c","c","H"
"342",342,0.98,0,2.85,0.36,1.69,0,22.35,17.36,3.56,21.64,1.16,14.43,0.09,4.27,292.02,58.08,29.94,1.8,4.8,0,0.6,0,0,4.79,61.45,16,4,10,6,9,9,5,4,9,0,0.09,4.67,5.994,1,13.45,0.53,0.09,2.67,3.77,3.15,7.55,47.17,"L_c","c","L"
"343",343,0.82,0,9.63,0.02,1.68,0,14.1,26,1.93,10.51,0,3.45,0,3.07,318.52,59.49,13.24,1.75,16.27,0,1.59,0,0,7.5,53.23,16,4,10,6,9,9,5,5,9,0,0.34,1.42,3.307,1,43.78,0,0,2,3.19,11.22,21.74,19.53,"H_c","c","H"
"344",344,4.68,0,4.84,6.38,13.48,0.44,9.3,24.81,6.38,3.3,0,3.03,0,2.81,244.69,44.84,34.92,0,13.09,0,0.4,0,0,5.95,108.81,33,4,11,6,9,9,6,5,9,0,5.17,1,15.293,1,41.64,4.51,0,5.2,5.14,14.23,18.18,18.58,"H_c","c","H"
"345",345,3.74,0,7.39,4.19,11.1,1.03,28.67,14.55,5.08,6.25,0.11,4.85,0,2.25,275.46,16.26,59.15,9.76,4.27,0,1.02,0,0,6.71,91.44,20,3,10,6,9,9,6,5,9,0,0.34,2.44,51.401,1,20.08,4.68,0.03,6.67,5.4,4.72,2.92,14.16,"H_c","c","H"
"346",346,4.33,0,1.95,7.97,10.6,0.17,8.06,39.1,6.96,0.51,0,1.36,0,3.48,329.18,31.9,38.04,1.84,19.63,0,1.84,0,0,6.75,72.99,28,3,10,6,9,9,6,6,9,0,0,1,0.493,0,35.45,9.25,0,7.67,13.96,18.61,8.72,29.07,"H_c","c","H"
"347",347,5.8,4.75,20.54,13.74,6.65,0.05,0.05,7.85,2.25,5.25,0.1,3.85,0,2.65,290.95,24.32,57.88,1.71,9.59,0,1.03,0,0,5.48,87.57,25,3,10,6,9,9,6,6,9,0,0.15,3.83,0.569,1,48.13,21.64,0.25,9.67,4.23,5.91,14.36,30.42,"H_d","d","H"
"348",348,0,0.96,17.02,2.01,3.44,1.43,14.05,15.3,0.96,18.36,0,10.04,0,3.92,250.15,61.27,21.13,0.7,7.74,0,2.82,0,0,4.93,47.9,9,3,10,6,9,9,6,5,9,0,0.96,4,71.006,0,6.88,3.92,1.05,8.33,0,0,0.6,16.17,"H_d","d","H"
"349",349,0,0.1,14.21,0.31,5.15,1.38,14.06,13.96,0.97,14.11,0.66,13.35,0,8.05,218.2,12.76,49.66,8.62,19.31,0,5.86,0,0,3.79,46.16,7,4,11,7,10,10,6,5,9,0.2,0.87,7.8,23.114,1,11.05,1.27,0.1,8.6,1.38,1.15,5.07,41.25,"H_d","d","H"
"350",350,1.95,2.21,10.81,7.01,11.45,0.46,2.61,13.15,4.34,2.18,0.61,7.16,0,3.1,269.49,27.04,48.28,3.09,11.99,0,3.45,0,0,5.26,77.14,16,3,11,6,9,9,6,6,9,0,1.32,5,6.98,1,38.53,21.32,3.02,9.88,4.21,4.77,10.69,30.72,"H_c","c","H"
"351",351,1.54,2.91,12.84,7.02,8.73,0,5.82,1.2,2.23,11.47,1.54,11.13,0,0.68,274.32,7,22,8,42,0,0,0,0,18,0,36,3,11,7,9,10,7,7,9,0,2.4,5,27.702,1.5,28.94,11.3,0.34,10,4.26,6.39,6.39,6.39,"H_d","d","H"
"352",352,6.51,0,3.01,4.45,7.7,0.33,23.32,25.22,5.77,0.66,0.04,3.63,0,4.16,247.47,20.37,13.48,1.88,51.1,0,4.08,0,0,5.96,44.47,10,3,10,6,9,9,6,5,9,0,0.16,1,0.24,1,21.92,3.83,0.04,4,7.53,16.63,24.75,24.95,"H_c","c","H"
"353",353,6.92,0,3.91,21.72,14.67,0.18,1.18,31.78,11.24,0.41,0,1.12,0,1.24,455.19,8.02,66.67,16.46,5.06,0,0,0,0,3.8,112.78,40,2,10,5,7,8,7,7,8,0,0,1,0.014,0,27.1,32.72,0.65,7.33,20.92,31.63,26.54,12.75,"H_c","c","H"
"354",354,13.28,0.67,3.98,38.98,6.43,0.43,0.18,5.57,7.22,0,0,0.73,0,1.35,460.84,15.56,63.56,12.89,5.34,0,0,0,0,2.67,122.6,38,3,10,6,8,9,6,7,8,0,1.9,2.67,4.585,1,37.94,40.82,1.35,10.33,3.7,8,8.61,19.08,"H_m","m","H"
"355",355,8.94,2.44,19.1,19.73,5.55,0.14,0,13.05,4.06,1.17,0.05,2.21,0,1.49,346.43,34.34,35.69,2.36,20.54,0,0.34,0,0,6.4,108.59,24,3,10,6,9,9,6,6,9,0,2.39,4,28.496,1.2,31.29,33.54,3.97,11.33,2.98,7.06,16.36,31.97,"H_d","d","H"
"356",356,11.41,0.39,3.06,3.74,4.32,2.89,3.32,13.75,9.79,0.49,0.03,1.01,0,1.59,439.1,27.76,57.18,2.59,4,0,0,0,0,7.29,94.58,42,3,10,6,8,9,6,7,8,0,4.91,1.55,8.909,1.5,47.4,11.64,0.75,8.73,20,14.95,15.41,16.1,"H_c","c","H"
"357",357,10.24,0,0.47,1.2,3.41,0,0.94,19.68,8.03,0,0,0.67,0.13,2.14,400.07,26.17,54.67,1.87,9.34,0,0.47,0,0,5.61,92.83,26,3,10,6,8,9,6,7,8,0,1.74,1.5,0.008,1.25,61.58,10.44,0.8,10.25,13.69,16.18,19.09,24.07,"H_c","c","H"
"358",358,11.12,1.28,17.33,2.95,9.42,3.17,1.09,16.85,6.92,0.9,0,1.67,0,1.83,418.81,16.04,47.69,18.24,6.16,0,0.88,0,0,9.45,105.04,38,3,10,6,9,9,7,7,9,0,4.1,3.43,36.276,1,30.57,12.66,1.41,10.29,18.59,13.17,11.76,16.47,"H_c","c","H"
"359",359,4.46,1.94,11.41,12.66,7.68,0.34,0,20.61,8.84,0.39,0.47,2.36,0,1.28,443.21,38.25,31.72,4.66,9.51,0,0.75,0,0,15.11,103.41,17,2,10,6,8,9,7,8,8,0,0.05,3.11,0.228,1.44,23.1,31.2,8.23,11.11,7.42,8.62,14.63,32.26,"H_c","c","H"
"360",360,5.91,8.42,13.02,13.81,15.24,0.1,0.67,7.49,5.21,2.73,0.29,6.73,0,0.38,406.05,25.56,55.56,4,3.54,0,0.89,0,0,10.44,108.86,11,2,10,6,9,9,7,8,8,0,0.98,5,6.009,1.71,34.55,39.76,2.6,11.71,8.21,8.21,22.7,24.64,"H_m","m","H"
"361",361,1.42,0,0.73,1.29,2.97,10.26,7.53,43.11,11.79,0,0.08,0.14,0,3.84,448.07,59.26,10.62,0.72,20.51,0,1.43,0,0,6.89,56.76,11,3,10,5,7,8,5,6,8,0,4.11,1,5.272,1,8.68,10.22,1.56,0,31.12,14.9,6.12,13.08,"H_c","c","H"
"362",362,1.92,0,3.49,0.52,7.42,7.82,0.92,32.4,17.92,0.28,0,0.72,0,3.09,444.17,46.33,39.3,3.83,3.52,0,0.96,0,0,6.07,63.69,18,2,10,5,7,8,6,7,8,0,13.87,1,17.937,1,0,17.64,0.52,0,22.25,12.47,11.57,18.99,"H_c","c","H"
"363",363,3.09,0,0,0,0.21,0.51,0.21,37.08,6.59,0,0,0,0,9.17,424.54,57.78,19.26,0,8.89,0,8.89,0,0,5.19,52.86,6,2,10,5,7,8,6,7,8,0,31.2,1,50.478,1,0.93,5.36,0.51,1.33,75.86,6.9,6.9,6.9,"H_c","c","H"
"364",364,0.9,0,0.27,0.11,0.82,1.18,1.45,13.36,3.58,0.06,0.06,0.99,0,0.57,411.64,13.61,5.18,0.44,0.89,0,0.59,0,0,79.29,60.96,1,3,10,5,8,8,6,7,8,0,1.77,1,2.614,1,2.53,2.48,0.17,0.7,21.59,21.59,19.32,19.31,"H_c","c","H"
"365",365,11.86,0,5.26,19.32,5.13,0.98,0.98,25.73,22.8,0,0,0.06,0,0.67,428.59,55.36,27.47,8.58,5.59,0,0,0,0,3,105.09,31,3,10,6,8,8,5,6,8,0,0,1,0.007,0,0.73,19.25,0.06,2.4,23.7,26.94,25.65,15.91,"H_c","c","H"
"366",366,1.24,0,0,0.29,2.12,3.14,12.77,39.2,5.18,0,0,0.36,0,11.09,398.71,24.61,3.66,0,41.36,0,11.52,0,0,11.52,28.92,0,3,10,5,8,8,5,7,8,0,2.12,1,0.002,0,3.36,1.02,0.07,2.33,16.81,9.73,26.1,34.95,"H_c","c","H"
"367",367,3.3,0,2.17,2.78,5.04,1.91,16.61,31.91,8.96,0.43,0,0.87,0,2.09,402.77,75.14,9.47,0,10.65,0,1.18,0,0,3.55,58.65,0,3,10,6,8,8,5,6,8,0,0.7,1,0.813,0,37.3,4.09,0.78,1.33,9.29,9.83,15.85,29.51,"H_c","c","H"
"368",368,12.33,0,1.17,0.71,4.68,0.17,0.17,15.8,1.92,0.25,0.13,0.88,0,1.13,378.61,71.6,14.79,0,7.4,0,0.3,0,0,5.92,62.06,11,3,10,6,8,8,5,6,8,0,10.28,1,16.93,1,75.26,0.5,0,1.8,20.55,14.38,5.47,14.38,"H_c","c","H"
"369",369,7.6,0,4.15,1.04,6.91,0.3,3.9,43.06,14.77,1.88,0,2.96,0,1.88,408.28,60.43,21.22,0,13.67,0,0,0,0,4.32,76.66,7,3,10,5,8,8,6,7,8,0,2.57,1,4.343,1,35.16,17.38,1.93,1.8,19.51,19.52,16.38,25.44,"H_c","c","H"
"370",370,4.95,0,2.4,0,3.51,0.8,0.8,26.52,16.77,0,0.48,2.4,0,2.4,432.05,22.34,54.26,4.26,4.26,0,1.06,0,0,13.83,83.82,24,2,10,5,7,8,6,7,8,0,25.08,1,42.581,1,1.28,7.99,0,3.5,22.73,13.64,15.15,12.13,"H_c","c","H"
"371",371,22.13,0,0.12,0.7,0.64,0.41,6.73,37.3,12.76,0,0,0.88,0,1.76,409.72,66.94,23.27,0,2.45,0,0,0,0,7.35,63.14,23,3,10,6,8,8,6,7,8,0,3.22,1,4.086,1,29.39,4.92,0.06,4,31.34,10.14,9.68,25.8,"H_c","c","H"
"372",372,11.96,0,4.05,1.22,6.59,0.56,4.85,37.01,8.38,1.37,0.28,3.25,0,0.85,324.29,34.41,29.9,9.32,15.11,0,0,0,0,8.36,85.29,28,3,10,6,8,9,6,6,8,0,0.89,1,0.71,1,44.73,3.58,0.05,3.5,11,25.35,22.01,22.49,"H_c","c","H"
"373",373,9.1,0,2.68,5.42,6.33,1.21,11.87,28.47,15.19,0.51,0.15,0.81,0,3.28,403.06,68.91,8.26,0,16.52,0,1.3,0,0,4.78,51.18,8,3,10,6,8,9,5,6,8,0,0.12,1,0.004,1,33.02,10.27,0.45,3.89,10.17,7.08,6.72,45.19,"H_c","c","H"
"374",374,20.92,0,1.31,9.28,4.97,0,0,31.63,16.86,0,0,0,0,0.65,432.68,65.42,14.49,0.47,11.68,0,0.93,0,0,7.01,77.86,21,3,10,6,8,8,5,6,8,0,0,1,0.814,0,34.64,23.99,0.85,3.25,30.56,25,19.9,14.35,"H_c","c","H"
"375",375,16.25,0,5.14,14.31,14.21,0.88,2.27,28.8,6.9,0.65,0.09,2.45,0,1.11,386.85,56.17,35.49,0.93,2.47,0,0.62,0,0,4.32,80.4,25,3,10,6,8,9,6,6,8,0,0.19,1,0.006,0,39.63,13.7,0.28,4.33,8.12,25.22,19.23,15.39,"H_c","c","H"
"376",376,3.44,0,2.04,2.53,7.32,0.65,2.8,50.56,9.36,0,0,0.7,0,6.62,391.61,28.74,29.12,1.15,22.61,0,5.75,0,0,12.26,66.34,11,3,10,6,8,9,6,7,8,0,0,1,0,1,12.64,8.07,0,6.5,30.61,42.35,18.37,3.57,"H_c","c","H"
"377",377,1.62,0,4.14,3.62,10.27,4.31,7.58,30.22,8.97,0.32,0,0.98,0,2.05,387.1,15.02,47.94,13.99,9.26,0,0.21,0,0,11.93,90.35,22,3,10,6,8,9,6,7,8,0,3.62,1,5.149,1,27.87,2.92,0.03,6.78,13.36,35.86,20.71,13.8,"H_c","c","H"
"378",378,11.92,0,3.58,6.04,11.84,0.56,7.07,34.02,6.52,0.87,0.08,1.59,0,2.07,401.68,51.89,39.46,1.62,1.62,0,0,0,0,5.41,72.39,16,3,10,6,8,9,6,7,8,0,0,1,0.039,0,54.37,2.38,0,6.5,15.86,15.08,10.32,28.57,"H_c","c","H"
"379",379,10.71,0,0.45,0.22,2.08,4.54,1.41,29.59,4.54,0.07,0.07,0.82,0,1.64,474.25,30.37,61.26,0.52,1.05,0,0,0,0,6.81,82.63,16,3,10,5,8,8,7,8,8,0,0,1,0.136,1.67,65.65,4.61,0.07,7.67,29.56,20.13,15.09,16.98,"H_c","c","H"
"380",380,32.53,0,2.33,6.19,1.91,0,0,11.91,25.22,0,0,0,0,0.33,724,34.5,37.1,17.3,4.9,0,0.3,0,0,5.9,125,40,2,9,5,7,8,8,8,7,0,0,2,2.204,1.6,13.4,33.64,9.82,8.2,13.83,9.87,22.71,33.33,"H_c","c","H"
"381",381,2.18,0.16,17.94,6.24,9.36,0,0,21.53,23.56,0,0.78,1.72,0,0.47,596.12,28.74,67.82,0,2.3,0,0,0,0,1.15,146.69,42,1,9,5,7,8,8,9,7,0,0,2,0.098,1,12.17,44.62,9.98,11,17.39,12.32,15.94,14.49,"H_c","c","H"
"382",382,18.88,3.84,4.44,19.94,5.23,0,0,7.36,17.86,0.09,0.32,1.57,0,0.74,579.88,47.54,43.61,0,1.64,0,0,0,0,6.56,107.93,33,1,9,5,8,8,8,9,8,0,0,3.5,0.122,1.17,30.03,43.04,6.02,13,9.81,15.98,20.55,20.78,"H_m","m","H"
"383",383,16.45,6.64,14.34,13.68,12.7,1.05,0.26,3.29,6.91,1.78,0.86,1.51,0,0.46,497.5,37.12,48.03,10.92,3.06,0,0.44,0,0,0.44,127.3,44,2,10,6,8,9,8,9,8,0,0.2,4,1.592,2,35.39,34.93,6.25,12.8,3.66,8.06,18.31,20.88,"H_c","c","H"
"384",384,33.9,0.6,3.28,10.24,3.28,0,0,11.53,14.21,0.2,0.2,0.2,0,0.7,644,48,45,1,5,0,0,0,0,1,136,51,2,9,5,7,8,8,9,7,0,1.09,3,3.212,1.67,44.53,34.99,5.37,13,6.55,13.54,16.15,29.69,"H_c","c","H"
"385",385,49.87,0.09,2.23,8.37,2.49,0,0,3.21,11.13,0,0,0,0,0.45,743,19.5,69.2,5,0,0,0,0,0,6.3,103,38,1,9,5,7,8,9,9,7,0,0,3,0.416,1.33,28.85,51.74,9.62,14.33,2.7,17.75,20.43,27.96,"H_c","c","H"
"386",386,7.41,0,2.51,3.12,3.67,0,0,19.16,40.21,0,0,0.06,0,2.14,697,57,26,0,5,0,0.05,0,0,10,78,21,1,9,5,7,8,8,10,7,0,0,2,0.002,1,19.03,28.52,0.61,10.25,6.42,14.49,24.94,31.36,"H_c","c","H"
"387",387,4.85,0,3.34,1.37,7.78,0,0,36.31,31.88,0,0,0.68,0,1.43,647,38.3,48.3,0.5,2.4,0,0,0,0,8.6,91,22,1,9,5,7,8,9,10,7,0,0,2,0.004,1,1.71,32.08,0.2,8.75,29.51,25.78,14.91,18.01,"H_c","c","H"
"388",388,2.41,0,5.83,0.39,5.59,0,0,31.31,9.71,0,0.47,4.58,0.08,1.71,635,38,38,6.4,1.2,0,0,0,0,16.4,98,27,1,9,5,7,8,8,9,7,0,0.54,2,0.04,1,31.16,7.61,0.47,6.33,32.27,44.55,7.27,9.09,"H_c","c","H"
"389",389,0.97,0,2.06,1.3,19.16,0.87,0.65,47.51,7.25,3.57,0,3.79,0,1.52,602,14.6,52,19.5,5.7,0,0.8,0,0,7.4,101,40,2,9,5,7,8,7,7,7,0,0.32,1,1.661,1,0.22,7.25,0.87,5.5,11.61,42.86,29.47,10.72,"H_c","c","H"
"390",390,16.62,0,1.67,1.23,1.67,0,0,35.03,19.16,0,0,0.04,0,1.76,663,54.1,17.1,0,10.2,0,0,0,0,13.1,78,24,1,9,5,7,8,9,10,7,0,0.53,2.25,0.756,1,35.47,18.2,0.44,10.75,27.86,22.05,23.07,21.37,"H_c","c","H"
"391",391,10.6,0,8.13,1.24,6.89,0,0,37.28,10.6,0,0,0,0,0.88,656,55.6,21.1,0,4.4,0,0,0,0,18.9,91,19,1,9,5,7,8,9,9,7,0,0,2,0.024,1,52.47,6.01,0.18,7.5,20.97,31.45,13.71,29.03,"H_c","c","H"
"392",392,2.58,0,1.48,0.37,4.8,0,0,37.64,25.83,0,0.74,2.21,0,12.18,674.5,17,8.5,4.3,57.4,0,4.3,0,0,8.5,0,28,1,9,5,7,8,8,8,7,0,0,2,4.651,1,2.58,15.13,2.58,6,17.14,5.72,5.72,71.43,"H_c","c","H"
"393",393,1.23,0,1.23,2.02,9.41,1.34,0,43.67,19.37,0.22,0,3.92,0,2.69,652,42.1,47.4,5.2,0.8,0,1.5,0,0,3,91,13,1,9,5,7,8,8,8,7,0,0.11,2,0.018,1,15.01,12.77,2.24,6,25.27,21.98,14.28,35.16,"H_c","c","H"
"394",394,20.37,0,0.26,0,0.26,0,0,15.93,13.58,0,0,0.26,0,1.83,716,24.2,14.6,0,37,0,3.2,0,0,21,0,15,1,9,5,7,8,9,9,7,0,0,2.5,0.005,1,41.25,14.36,0.78,11.5,23.44,20.32,20.31,17.19,"H_c","c","H"
"395",395,24.71,0,1.45,0,0.93,0,0,12.67,34.48,0,0,0,0,1.14,750,45.3,41.7,4.3,2.9,0,0,0,0,5.8,88,14,1,9,5,7,8,9,9,7,0,0,2,0.002,1,33.44,21.29,0.52,9,12.8,14.81,21.54,42.09,"H_c","c","H"
"396",396,49.47,0,0,0.24,2.49,0,0,9.59,21.3,0,0,0,0,1.07,753,53.5,33.3,5.3,0.9,0,0,0,0,7,84,10,1,9,5,7,8,9,9,7,0,0,2,0.738,1,24.14,30.77,0.59,10,18.78,24.85,20,24.85,"H_c","c","H"
"397",397,9.66,0,0.14,0,4.76,0.14,0,27.35,41.36,0,0,0,0,1.09,707,51.4,25.7,6.7,0.9,0,0,0,0,15.3,93,13,2,9,5,7,8,8,8,7,0,0,2,0.002,1,1.5,25.85,1.9,7,30.68,18.72,20.86,21.48,"H_c","c","H"
"398",398,2.41,0,2.59,0.86,5.06,2.1,0.06,24.63,21.36,0,0,0.19,0,1.42,685,31.2,39.2,18,3.2,0,0.8,0,0,7.6,114,23,2,9,5,7,8,8,8,7,0,0.37,2,2.551,1,20.06,24.94,15,7.75,25.94,13.37,22.73,27.27,"H_c","c","H"
"399",399,6.16,0,1.66,1.99,1.59,2.39,0,5.04,2.85,1.59,0,1.66,0,2.05,552.45,35.91,40,14.09,2.72,0,0,0,0,7.27,93.39,15,3,10,5,8,9,7,6,8,0,10.74,2,0.796,0,54.27,14.18,23.72,10,1.37,2.05,6.17,24.32,"H_c","c","H"
"400",400,0.49,0.07,12.44,0.56,2.52,1.61,1.12,4.33,1.05,13.42,0,2.38,0,3.98,439.78,50.95,21.9,10.48,10.96,0,0.48,0,0,5.24,78.87,22,4,11,6,9,10,7,5,8,0,21.17,2,0.674,0,12.93,9.85,22.01,11.33,4.06,2.95,4.44,11.65,"H_d","d","H"
"401",401,7.39,0,7.74,0.23,1.37,0,0,20.71,1.71,5.69,0,3.87,0,1.37,522.51,38.84,23.14,14.05,14.87,0,1.65,0,0,6.61,126.02,34,3,10,6,8,9,7,7,8,0,0,2,0.019,1,8.99,16.15,42.55,10.67,7.4,1.24,4.94,56.18,"H_c","c","H"
"402",402,2.2,0.33,16.56,4.01,1.8,1.27,0.13,8.54,4.14,25.83,0.2,2.8,0,1.8,435.38,37.74,29.72,18.4,6.6,0,0.47,0,0,6.6,100.39,32,4,11,6,9,10,7,5,8,0,5.54,2,1.101,0,9.75,23.9,15.02,11,1.08,0.87,5.17,28.23,"H_d","d","H"
"403",403,8.67,0.12,11.1,0.58,2.77,3.12,0.58,19.31,4.86,11.68,0.81,7.05,0,0.35,450,34.11,20.16,9.3,29.46,0,0,0,0,3.1,0,57,4,10,6,9,10,7,6,8,0,0,2,6.117,1,17.11,26.82,21.16,10,7.26,4.7,15.81,34.19,"H_c","c","H"
"404",404,3.73,0,41.77,4.91,0.09,0.36,0,5.91,5.1,5.1,0,2.37,0,0.09,480.51,23.42,37.97,31.01,4.43,0,0,0,0,2.53,148.48,44,3,10,6,8,9,7,6,8,0,0.18,2,0,1,32.21,58.33,25.84,10.33,1.6,3.74,13.9,26.2,"H_c","c","H"
"405",405,19.09,1.73,11.1,6.45,6.87,0.92,0,12.71,6.53,5.22,0.65,4.88,0.19,0.23,538.72,33.16,37.82,23.06,1.3,0,0,0,0,4.66,155.95,49,3,10,6,8,9,7,6,8,0,0,2.63,0.013,3.38,20.47,29.26,8.6,9.75,4.71,9.41,12.18,43.5,"H_c","c","H"
"406",406,2.12,0,1.88,1.53,0.71,19.08,0,2.12,4.48,12.37,0.24,4.71,0,2.94,73.15,0,2.72,28.57,0,0,3.4,0.68,0,19.05,51.71,6,8,12,7,10,11,5,3,8,0.47,8.24,1.67,51.684,1,23.91,12.72,9.89,8,0,0.55,6.01,13.66,"L_d","d","L"
"407",407,2.75,0,0.67,0.58,0.17,6.41,0.58,2.41,2.66,5.99,0.08,0.67,0,45.42,37.75,0.87,0.44,0.87,0,0,38.43,0,0,13.97,11.7,0,8,12,7,10,11,5,2,8,2.5,5.07,1.5,66.319,1.67,8.49,5.32,3.08,4.8,8.8,7.2,9.6,19.2,"L_d","d","L"
