"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"18",18,0.38,0,1.91,0.45,1.53,1.28,1.79,11.23,1.28,24.25,0.19,6.25,0,3.96,289.56,0,4.93,3.59,0,67.26,21.08,0,0,3.14,25.19,4,5,10,7,9,9,5,4,10,10.78,1.98,6.2,24.032,1,14.49,1.53,0.26,9.2,0.64,1.91,1.28,18.47,"L_c","c","L"
"19",19,1.38,0,13.94,7.09,8.41,5.53,14.96,9.8,3.61,1.74,0.48,3.91,0.06,3.25,369.36,2.05,38.11,31.15,6.97,8.61,3.69,0,0,1.23,67.89,15,3,10,7,9,9,5,5,9,0,11.78,5.6,37.239,1.8,14.66,2.1,0,7.8,9.84,13.12,14.76,22.95,"H_c","c","H"
"20",20,0,0,1.82,0,3.47,1.82,31.6,18.2,0.33,5.87,0.25,11.41,0,6.62,337.58,18.64,29.38,16.95,2.82,10.73,8.47,0,0,1.69,35.82,10,3,9,6,8,9,5,5,9,0,5.13,3.67,10.502,0,8.68,0,0,2,10.25,2.56,7.69,44.87,"H_c","c","H"
"21",21,0.26,0,0.58,0.38,0.1,0.53,1.27,4.8,0.43,19.92,0.99,5.37,0,4.32,284.1,0.34,1.76,1.42,0.06,68.73,15.47,0,0,11.22,16.91,0,4,9,7,9,9,5,4,9,25.14,2.55,6.63,11.283,1.03,8.25,0.12,0,5.88,1.58,1.02,1.85,23.54,"L_n","n","L"
"22",22,0.37,0,0.19,0.06,0.06,0.06,9.07,25.85,3.45,11.23,0.12,12.34,0,11.72,302.36,0.44,4.37,0,0.87,48.03,46.29,0,0,0,12.01,0,4,9,7,8,9,5,5,9,2.34,1.6,6,3.557,1,9.87,0,0,4.17,6.4,5.02,8.22,28.31,"H_c","c","H"
"23",23,1.76,0,0.25,0.25,0.88,0,29.85,18.77,5.79,3.9,1.13,9.19,0,4.28,335.94,25.66,15.93,12.39,9.73,17.7,10.62,0,0,0,31.7,0,3,9,6,8,9,5,5,9,0,0.5,5,3.376,1,44.46,0,0,5,21.5,23.65,19.35,21.51,"H_c","c","H"
"24",24,0.18,0,0.31,0,0.21,0.31,3.64,6.16,0.05,23.55,0.03,7.36,0.03,4.56,306.4,0.19,0.37,0.56,0.56,85.61,10.65,0,0,1.31,18.01,0,4,10,7,9,9,5,5,10,25.65,0.65,7.75,11.959,1,9.17,0.16,0.03,6.38,1.08,0.81,1.35,24.19,"H_n","n","H"
"25",25,0.27,0,0.82,0.27,0.68,2.46,2.19,13.19,0.55,17.84,0,14.83,0,5.13,315.88,8.7,5.31,10.63,1.45,56.52,14.49,0,0,1.45,29.79,2,4,10,7,9,9,5,5,9,11.48,3.96,7.67,19.561,1,16.27,0,0,4.33,0,0,0,20.32,"H_n","n","H"
"26",26,0.99,0,0.48,2.06,1.07,0.28,23.06,22.53,2.26,3.46,0.08,5.39,0,17.72,324.05,6.51,3.35,1.94,1.76,21.3,43.84,0,0,1.06,17.18,0,4,10,7,9,9,5,5,9,0.81,0.43,6.73,9.742,1.09,14.62,0.86,0,5.73,3.2,4.08,8.74,47.23,"H_c","c","H"
"27",27,0.83,0,3.99,0.83,2.5,0.67,10.48,18.8,1.83,3.16,0,10.82,0,7.15,333.49,31.4,23.26,8.14,0,20.93,12.79,0,0,0,23.62,4,3,9,7,8,9,5,5,9,0.33,0.17,7,2.277,2,41.6,0,0,6,2.22,15.56,6.66,40,"H_c","c","H"
