"","H_c","H_d","H_m","H_n","L_c","L_d","L_m","L_n"
"H_c",0,3.83333,4,-3.083335,3.16667,1.9,2.54,0.75595
"H_d",-3.83333,0,0.16667,-6.916665,-0.66666,-1.93333,-1.29333,-3.07738
"H_m",-4,-0.16667,0,-7.083335,-0.83333,-2.1,-1.46,-3.24405
"H_n",3.083335,6.916665,7.083335,0,6.250005,4.983335,5.623335,3.839285
"L_c",-3.16667,0.66666,0.83333,-6.250005,0,-1.26667,-0.62667,-2.41072
"L_d",-1.9,1.93333,2.1,-4.983335,1.26667,0,0.64,-1.14405
"L_m",-2.54,1.29333,1.46,-5.623335,0.62667,-0.64,0,-1.78405
"L_n",-0.75595,3.07738,3.24405,-3.839285,2.41072,1.14405,1.78405,0
