"","H_c","H_d","H_m","H_n","L_c","L_d","L_m"
"H_d",FALSE,NA,NA,NA,NA,NA,NA
"H_m",FALSE,FALSE,NA,NA,NA,NA,NA
"H_n",FALSE,FALSE,TRUE,NA,NA,NA,NA
"L_c",FALSE,FALSE,TRUE,TRUE,NA,NA,NA
"L_d",FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA
"L_m",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
"L_n",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
