"","H_c","H_d","H_m","H_n","L_c","L_d","L_m","L_n"
"H_c",0,0.03571,0.03571,0.03571,0.03571,0.03571,0.03571,0.03571
"H_d",-0.03571,0,0,0,0,0,0,0
"H_m",-0.03571,0,0,0,0,0,0,0
"H_n",-0.03571,0,0,0,0,0,0,0
"L_c",-0.03571,0,0,0,0,0,0,0
"L_d",-0.03571,0,0,0,0,0,0,0
"L_m",-0.03571,0,0,0,0,0,0,0
"L_n",-0.03571,0,0,0,0,0,0,0
