"","H_c","H_d","H_m","H_n","L_c","L_d","L_m"
"H_d",3.37820674822486e-10,NA,NA,NA,NA,NA,NA
"H_m",0.000441664679167204,0.0127247143946223,NA,NA,NA,NA,NA
"H_n",0.02573868518492,0.0127247143946223,0.887696767906482,NA,NA,NA,NA
"L_c",0.00392985672833517,0.000129940048236697,0.16511102322363,0.456241212834923,NA,NA,NA
"L_d",0.000445192199699415,0.751773728119348,0.0969336330981502,0.150812017897851,0.0127247143946223,NA,NA
"L_m",7.73091064474034e-07,0.332331832187917,0.0969336330981502,0.105170823428609,0.00574138015051301,0.414895826147317,NA
"L_n",0.000913625737403928,0.166727193642301,0.414895826147317,0.356160595574837,0.0969336330981502,0.356160595574837,0.753024924538408
