"","H_c","H_d","H_m","H_n","L_c","L_d","L_m"
"H_d",6.92747645534009e-07,NA,NA,NA,NA,NA,NA
"H_m",1.8730711466006e-05,0.350790809675719,NA,NA,NA,NA,NA
"H_n",0.734994441699849,0.0763626625857655,0.206625944375829,NA,NA,NA,NA
"L_c",0.00936056685197204,0.000188947353794238,0.00652133997273991,0.933384940465595,NA,NA,NA
"L_d",0.463260886822604,0.0528171905623804,0.244864190325507,0.965452938520364,0.877630117398502,NA,NA
"L_m",0.00936056685197204,0.118777955083752,0.463260886822604,0.463260886822604,0.181459727009685,0.591775128687936,NA
"L_n",0.980261100219194,0.00402575233227191,0.0177214247334245,0.816231234662716,0.463260886822604,0.463260886822604,0.124804484963854
