"","H_c","H_d","H_m","H_n","L_c","L_d","L_m"
"H_d",0.00193623804488838,NA,NA,NA,NA,NA,NA
"H_m",0.00056859520450963,0.664338225662111,NA,NA,NA,NA,NA
"H_n",0.237620451452844,0.00183314760372376,0.00183314760372376,NA,NA,NA,NA
"L_c",9.9684869128348e-07,0.57501562914526,0.339490167041036,0.017563744218497,NA,NA,NA
"L_d",0.428390738821877,0.408532106255276,0.339490167041036,0.182437331747855,0.629032256821716,NA,NA
"L_m",0.339490167041036,0.104272082210774,0.035632366277677,0.0461051843155923,0.339490167041036,0.735628009732497,NA
"L_n",0.735628009732497,0.135600895940048,0.113185866592965,0.204640474201136,0.339490167041036,0.61304687743337,0.979318068995679
